State,SARIMA_Sales_Prediction,LSTM_Predicted_Sales,Weighted_Ensemble,RMSE_Weighted_Ensemble,MSE_Weighted_Ensemble,MAE_Weighted_Ensemble,RMSE_LSTM,MSE_LSTM,MAE_LSTM,RMSE_SARIMA,MSE_SARIMA,MAE_SARIMA,Sales
Alabama,0.0,0.0,0.0,323.29844510658154,104521.88460833333,152.35416666666666,323.29844510658154,104521.88460833333,152.35416666666666,323.29844510658154,104521.88460833333,152.35416666666666,152.35416666666666
Arizona,0.0,0.0,0.0,1265.357751050807,1601130.238144356,969.1950516767919,1265.357751050807,1601130.238144356,969.1950516767919,1265.357751050807,1601130.238144356,969.1950516767919,969.1950516767919
Arkansas,0.0,0.0,0.0,481.61157500970984,231949.70918333335,225.63666666666668,481.61157500970984,231949.70918333335,225.63666666666668,481.61157500970984,231949.70918333335,225.63666666666668,225.63666666666668
California,0.0,0.0,0.0,13042.071659370671,170095633.16815963,12187.79102635693,13042.071659370671,170095633.16815963,12187.79102635693,13042.071659370671,170095633.16815963,12187.79102635693,12187.79102635693
Colorado,0.0,0.0,0.0,1378.3307254952172,1899795.588844172,1028.0536466873275,1378.3307254952172,1899795.588844172,1028.0536466873275,1378.3307254952172,1899795.588844172,1028.0536466873275,1028.0536466873275
Connecticut,0.0,0.0,0.0,677.1384198536823,458516.4396419418,470.1103518287614,677.1384198536823,458516.4396419418,470.1103518287614,677.1384198536823,458516.4396419418,470.1103518287614,470.1103518287614
Delaware,0.0,0.0,0.0,3288.8624523553285,10816616.230512707,1387.0902431141042,3288.8624523553285,10816616.230512707,1387.0902431141042,3288.8624523553285,10816616.230512707,1387.0902431141042,1387.0902431141042
District of Columbia,0.0,0.0,0.0,22.447378466092648,503.88479999999987,6.4799999999999995,22.447378466092648,503.88479999999987,6.4799999999999995,22.447378466092648,503.88479999999987,6.4799999999999995,6.4799999999999995
Florida,0.0,0.0,0.0,2523.650984595246,6368814.292048554,1880.1392341215478,2523.650984595246,6368814.292048554,1880.1392341215478,2523.650984595246,6368814.292048554,1880.1392341215478,1880.1392341215478
Georgia,0.0,0.0,0.0,1918.8072825262334,3681821.3874757085,1297.4863535594163,1918.8072825262334,3681821.3874757085,1297.4863535594163,1918.8072825262334,3681821.3874757085,1297.4863535594163,1297.4863535594163
Idaho,0.0,0.0,0.0,252.76888563138723,63892.109543333325,102.79566666666665,252.76888563138723,63892.109543333325,102.79566666666665,252.76888563138723,63892.109543333325,102.79566666666665,102.79566666666665
Illinois,0.0,0.0,0.0,2543.5630515091807,6469712.997002695,2254.020812956403,2543.5630515091807,6469712.997002695,2254.020812956403,2543.5630515091807,6469712.997002695,2254.020812956403,2254.020812956403
Indiana,0.0,0.0,0.0,1712.7897547186967,2933648.743869333,1103.569,1712.7897547186967,2933648.743869333,1103.569,1712.7897547186967,2933648.743869333,1103.569,1103.569
Iowa,0.0,0.0,0.0,102.15367977545726,10435.374291666665,41.997499999999995,102.15367977545726,10435.374291666665,41.997499999999995,102.15367977545726,10435.374291666665,41.997499999999995,41.997499999999995
Kansas,0.0,0.0,0.0,137.0867516850178,18792.777487549723,61.6252727059925,137.0867516850178,18792.777487549723,61.6252727059925,137.0867516850178,18792.777487549723,61.6252727059925,61.6252727059925
Kentucky,0.0,0.0,0.0,2075.7589802156676,4308775.343945988,1259.2046344328362,2075.7589802156676,4308775.343945988,1259.2046344328362,2075.7589802156676,4308775.343945988,1259.2046344328362,1259.2046344328362
Louisiana,0.0,0.0,0.0,599.7221939014763,359666.709858,304.08366666666666,599.7221939014763,359666.709858,304.08366666666666,599.7221939014763,359666.709858,304.08366666666666,304.08366666666666
