State,Year-Month,SARIMA_Sales_Prediction,LSTM_Predicted_Sales,Weighted_Ensemble,RMSE_Weighted_Ensemble,MSE_Weighted_Ensemble,MAE_Weighted_Ensemble,RMSE_LSTM,MSE_LSTM,MAE_LSTM,RMSE_SARIMA,MSE_SARIMA,MAE_SARIMA,Sales
Alabama,2018-01,0.0,0.0,0.0,56.370000000000005,3177.5769000000005,56.370000000000005,56.370000000000005,3177.5769000000005,56.370000000000005,56.370000000000005,3177.5769000000005,56.370000000000005,56.370000000000005
Alabama,2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2018-04,0.0,0.0,0.0,518.16,268489.78559999994,518.16,518.16,268489.78559999994,518.16,518.16,268489.78559999994,518.16,518.16
Alabama,2018-05,0.0,0.0,0.0,26.16,684.3456,26.16,26.16,684.3456,26.16,26.16,684.3456,26.16,26.16
Alabama,2018-06,0.0,0.0,0.0,16.240000000000002,263.73760000000004,16.240000000000002,16.240000000000002,263.73760000000004,16.240000000000002,16.240000000000002,263.73760000000004,16.240000000000002,16.240000000000002
Alabama,2018-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2018-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2018-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,2018-10,0.0,0.0,0.0,10.16,103.2256,10.16,10.16,103.2256,10.16,10.16,103.2256,10.16,10.16
Alabama,2018-11,0.0,0.0,0.0,239.92,57561.6064,239.92,239.92,57561.6064,239.92,239.92,57561.6064,239.92,239.92
Alabama,2018-12,0.0,0.0,0.0,961.24,923982.3376,961.24,961.24,923982.3376,961.24,961.24,923982.3376,961.24,961.24
Arizona,2018-01,0.0,0.0,0.0,100.922,10185.250084,100.922,100.922,10185.250084,100.922,100.922,10185.250084,100.922,100.922
Arizona,2018-02,0.0,0.0,0.0,1112.0447232142856,1236643.466428737,1112.0447232142856,1112.0447232142856,1236643.466428737,1112.0447232142856,1112.0447232142856,1236643.466428737,1112.0447232142856,1112.0447232142856
Arizona,2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,2018-04,0.0,0.0,0.0,560.896,314604.32281599997,560.896,560.896,314604.32281599997,560.896,560.896,314604.32281599997,560.896,560.896
Arizona,2018-05,0.0,0.0,0.0,1087.9638969072164,1183665.440973536,1087.9638969072164,1087.9638969072164,1183665.440973536,1087.9638969072164,1087.9638969072164,1183665.440973536,1087.9638969072164,1087.9638969072164
Arizona,2018-06,0.0,0.0,0.0,935.308,874801.054864,935.308,935.308,874801.054864,935.308,935.308,874801.054864,935.308,935.308
Arizona,2018-07,0.0,0.0,0.0,1298.896,1687130.818816,1298.896,1298.896,1687130.818816,1298.896,1298.896,1687130.818816,1298.896,1298.896
Arizona,2018-08,0.0,0.0,0.0,223.576,49986.227776,223.576,223.576,49986.227776,223.576,223.576,49986.227776,223.576,223.576
Arizona,2018-09,0.0,0.0,0.0,623.433,388668.705489,623.433,623.433,388668.705489,623.433,623.433,388668.705489,623.433,623.433
Arizona,2018-10,0.0,0.0,0.0,961.104,923720.8988160001,961.104,961.104,923720.8988160001,961.104,961.104,923720.8988160001,961.104,961.104
Arizona,2018-11,0.0,0.0,0.0,3192.462,10191813.621444,3192.462,3192.462,10191813.621444,3192.462,3192.462,10191813.621444,3192.462,3192.462
Arizona,2018-12,0.0,0.0,0.0,1533.735,2352343.050225,1533.735,1533.735,2352343.050225,1533.735,1533.735,2352343.050225,1533.735,1533.735
Arkansas,2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,2018-03,0.0,0.0,0.0,40.41,1632.9680999999998,40.41,40.41,1632.9680999999998,40.41,40.41,1632.9680999999998,40.41,40.41
Arkansas,2018-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,2018-05,0.0,0.0,0.0,48.9,2391.21,48.9,48.9,2391.21,48.9,48.9,2391.21,48.9,48.9
Arkansas,2018-06,0.0,0.0,0.0,117.62,13834.4644,117.62,117.62,13834.4644,117.62,117.62,13834.4644,117.62,117.62
Arkansas,2018-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,2018-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,2018-09,0.0,0.0,0.0,939.82,883261.6324000001,939.82,939.82,883261.6324000001,939.82,939.82,883261.6324000001,939.82,939.82
Arkansas,2018-10,0.0,0.0,0.0,199.17,39668.688899999994,199.17,199.17,39668.688899999994,199.17,199.17,39668.688899999994,199.17,199.17
Arkansas,2018-11,0.0,0.0,0.0,4.3,18.49,4.3,4.3,18.49,4.3,4.3,18.49,4.3,4.3
