State,MSE,RMSE,MAE
Alabama,28376.521872752444,168.45332253402557,71.64528359269764
Arizona,342738.2403088641,585.438502584912,393.6769540969505
Arkansas,10528.67436822012,102.60932885571428,39.06447905370087
California,23048981.683198687,4800.935500837174,3823.7385944621096
Colorado,666337.2147560446,816.2948087278545,381.56954024038214
Connecticut,204458.78862342148,452.1711939336931,248.0467771358964
Delaware,349280.2179393657,590.999338357807,251.7035537419023
District of Columbia,68.97827979442103,8.305316357275082,2.3975383172888853
Florida,1909939.9346540633,1382.0057650581864,784.3761377673487
Georgia,1717042.9487431927,1310.359854674735,707.1254096700086
Idaho,22146.323111692338,148.8164074008385,45.7219008882116
Illinois,1114016.5596465894,1055.4698288660786,787.3632827508242
Indiana,326880.7412276223,571.7348522065297,308.11114606680246
Iowa,2258.5526242276183,47.52423196883478,21.38863882067388
Kansas,2696.012734599781,51.92314257245781,22.092653624464347
Kentucky,212974.51772760655,461.4916225974276,273.0492774083496
Louisiana,24746.502256079893,157.31021027282333,81.13809269869135
Maine,0.0,0.0,0.0
Maryland,145749.99083195586,381.7721713692027,208.35715947634824
Massachusetts,67858.69693006127,260.49701904256267,109.88125951248509
Michigan,1643441.2481399348,1281.9677250773261,717.7349517179969
Minnesota,21175.834764508443,145.51919036508016,100.45045109736056
Mississippi,19756.51180128669,140.5578592654523,63.61432210314286
Missouri,274375.79965804395,523.8089343052903,227.2328092935683
Montana,195328.83174689763,441.9602151177158,127.6732206210217
Nebraska,60147.219835887896,245.24930139734934,77.5114468529491
Nevada,51027.312384867306,225.89225835532147,82.08540954141282
New Hampshire,244.80677213702464,15.646302187322878,6.5615232296431385
New Jersey,653844.9012923412,808.6067655494487,311.1038570149986
New Mexico,7572.056984464877,87.01756710265391,53.91024173410173
New York,3131462.8280269005,1769.5939726465222,1497.8393859507921
North Carolina,539771.7518308404,734.6916032124229,424.031594280683
North Dakota,26465.62199914595,162.6825805030949,47.57007162387806
Ohio,569981.1251805994,754.9709432690767,566.6058166666554
Oklahoma,47789.71726018785,218.60859374733613,122.05537574349158
Oregon,11155.081485419867,105.61761919973327,47.30870210347616
Pennsylvania,1244914.9902971217,1115.7575858120445,935.2998784467001
Rhode Island,19216.023863660954,138.62187368399316,72.93997239937444
South Carolina,10341.549110373257,101.69340740860864,44.04859158833128
South Dakota,16221.731949984365,127.36456316410921,37.14420411416825
Tennessee,139446.67349374088,373.42559298170886,257.06012680516807
Texas,2367738.4158345624,1538.7457281287777,1244.120860982087
Utah,136616.14511619604,369.616213275603,115.59627646978674
Vermont,4865.831230076606,69.75551039220203,24.064635369179417
Virginia,132297.09652118312,363.72667831928845,231.58726315451113
Washington,3570458.5618981286,1889.5657072190236,1491.433352387601
West Virginia,2179.8721832504293,46.68910133264967,17.34341496796705
Wisconsin,50450.717588655905,224.61237185127604,114.37739400559224
Wyoming,0.0,0.0,0.0
